DATAFLOW,LAST UPDATE,freq,unit,category,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2009,3.9,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2010,4.0,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2011,3.3,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2012,3.4,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2013,4.5,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2014,4.1,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2015,3.8,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2016,3.9,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2017,4.2,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2018,3.0,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2019,2.7,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2020,3.0,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BE,2021,3.2,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2000,4.9,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2001,7.3,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2002,7.1,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2003,6.1,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2004,5.2,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2005,3.6,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2006,3.6,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2007,2.1,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2008,2.2,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2009,2.6,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2010,4.0,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,BG,2011,4.3,b
